항공사(영문명),항공사(한글명),항공사코드(IATA),항공사코드(ICAO),항공사상태
Aberdair Aviation Limited,아베르데어 에비에이션,,BDV,Active
Abidjan Air Cargo,아비장에어카고,,ADJ,Grounded
Aboitiz Air Transport Corporation,아보이티즈항공운송주식회사,,BOI,Grounded
Aboriginal Air Services,애브오리지널에어서비스,I8,,Active
Abs Jets,Abs 제트,,ABP,Active
Absolute Flight Services (Pty) Ltd,앱설루트 플라이트 서비스,,COI,Grounded
Abu Dhabi Aviation,아부다비항공,MO,AXU,Grounded
ABX Air,ABX 에어,GB,ABX,Active
ACA-Ancargo Air Sociedade de Transporte de Carga Lda,앙카고화물,,NCL,Grounded
Academy Airlines,아카데미 에어라인,,ACD,Grounded
Accessair,어세스에어,,CYD,Grounded
Ace Air,에이스 항공,,ATZ,Grounded
"Acef - Transportes Aereos E Cargas, Lda.",Acef - 항공화물운송,,CFM,Grounded
ACG Air Cargo Germany GmbH,ACG 독일에어카고,6U,ACX,Grounded
Acm Air Charter Gmbh,Acm 에어챠터,,BVR,Grounded
Acm Aviation,Acm 에비에이션,,BJT,Grounded
Act International Airlines DBA Texas Airways,액트 인터내셔널 에어라인 - 텍사스 에어웨이,,CWT,Grounded
Action Air,악티온 에어,,ORS,Grounded
Action Airlines,액션 에어라인,,AXQ,Grounded
Active Aero Charter Inc,액티브에어로챠터,,AVR,Grounded
Acvila Air-Romanian Carrier,악빌랴 에어-루마니아항공사,,RRM,Grounded
Ad Aviation Limited,AD 항공,V6,VUE,Grounded
Ada Air,아다 에어,ZY,ADE,Grounded
Addis Air Cargo Services P.L.C.,아디스항공화물서비스,,DSC,Grounded
Addis Airlines Plc,애디스 에어라인,,DDS,Grounded
"Adefa, S.A.",Adefa,,ADF,Grounded
"Adi Shuttle Group, Llc ",ADI 셔틀 그룹,,TEC,Grounded
Adler Aviation Ltd,앨더 에비에이션,,SWH,Grounded
Administracion De Aeropuertos Y Servicios Auxiliares A La,어드미니스트레이션 드 에어로부에르토스,,XXV,Grounded
Adria Airways,아드리아 항공사,JP,ADR,Grounded
Adria Airways Switzerland,다윈항공,F7,,Grounded
Advance Aviation Services,어드밴스 항공서비스,,XTJ,Grounded
Advanced Flight Training Ltd,어드벤스 플라이트 트레이닝,,ADV,Grounded
Adventia,어드벤티아,,DVN,Grounded
Adygeya Airlines,아디게야 에어라인,,RDD,Grounded
AeBal (Aerolineas de Baleares ),에어발,DF,,Grounded
Aeg Aviation Services ,AEG 에비에이션 서비스,,EBS,Grounded
Aegean Airlines,에게안항공,A3,AEE,Active
Aeolus Air,에올러스 항공,,AAZ,Active
Aer Caribe,에어카리브,,ACL,Grounded
Aer Caribe Peru,페루에어카리브,,CPR,Active
Aer Lingus,에어링거스,EI,EIN,Active
Aeralp,아렐프,,ALS,Grounded
AerCaribe,에어카리베,JK,ACL,Active
"Aerea Flying Training Organization , S.A.",아에레 플라잉 트레이닝 오가나이제이션,,ADG,Grounded
Aerea Transportes Aereos Del Pacifico,델 퍼시픽 에어트랜스포츠,,TAF,Grounded
Aereo Cabo,아에로 카보,,CBV,Grounded
Aereo Calafia,칼라피아항공,A7,CFV,Active
Aereo Ruta Maya,에어로 루타 마야,,MMG,Grounded
Aereo Taxi Autlan,아우틀란 에어택시,,TLD,Grounded
Aereo Taxi Paraza,아에로 택시 파라자,,PZA,Grounded
Aereo Transportes Los Angeles De America,로스엔젤레스 아메리카항공운송,,AGI,Grounded
Aereo Wwg.,에어로 WWG,,WWG,Grounded
Aereos Pacifico,아에로 퍼시피코,,TFO,Grounded
Aereosaba,아에로사바,,ESB,Grounded
Aereotaxis,아에로택시스,,TXI,Grounded
Aereotuy,에레오투이,L4,,Active
AERFI Group plc,AERFI 그룹 plc,,AGP,Grounded
Aerial Surveys (1980) Ltd,에어리얼 서베이 1980,,SUY,Grounded
Aerial Transit Company,에어리얼 트린짓,,AEZ,Grounded
Aeriantur-M,아리안트루-M,,MBV,Grounded
Aeris Gestion S.L.,아에리스 제스티옹,,RIS,Grounded
Aermarche,아에르마체,,MMC,Grounded
Aero (Nigeria),에어라 나이지리아,NG,NIG,Active
Aero 1 Prop-Jet,에어로 1 프롭-제트,,SSM,Grounded
Aero Africa,에어로아프리카,,RFC,Grounded
"Aero Air, Llc",에어로 에어,,WIL,Grounded
Aero Airline Plc,에어로 에어라인,,ILK,Grounded
Aero Airlines,에어로 에어라인,EE,EAY,Grounded
Aero Albatros,에어로 알바트로스,,ABM,Grounded
Aero Albatros,아에로 알바트로스,,ALB,Grounded
"Aero Algarve, Lda",에어로 알가베,,DSK,Grounded
Aero Aviation Centre Ltd.,에어로 항공센터,,AAD,Grounded
Aero Banobras,아에로 바노브라스,,BNB,Grounded
Aero Barloz,아에로 발로즈,,BLZ,Grounded
Aero Benin SA,에어베넹,EM,AEB,Grounded
Aero Bg,아에로 Bg,,BGG,Grounded
Aero Biniza,에어로비니자,,BZS,Grounded
Aero Charter,에어로 챠터,,GLT,Grounded
Aero Charter And Transport,에어로 챠터 앤 트랜스포트,,CTA,Grounded
Aero Charter DARTA,다르타,,DRT,Grounded
Aero Charter Krifka Ges Mbh,에어로 챠터 크리파,,KFK,Grounded
Aero Charter Los Cabos.,에어로 차트 로스 카보스,,RCR,Grounded
Aero Charter UKRAINE,에어로 차터 우크라이나,DW,UCR,Active
Aero Citro,아에로 시트로,,ITO,Grounded
"Aero Clinker,S.A.DE C.V",에어 클링커,,AKR,Grounded
Aero Club De Castellon,에어로클럽 드 까스텔욘,,RRB,Grounded
Aero Club De Portugal,포르투갈 에어클럽,,CLP,Grounded
Aero Clube Do Algarve,에어로 클럽 도 알가르베,,CGV,Grounded
Aero Coach Aviation International,에어로 카우치 에비에이션 인터내셔널,,DFA,Grounded
Aero Control Air Ltd.,에어로 콘트롤 에어,,LFC,Grounded
Aero Copter,아에로 콥터,,PTE,Grounded
Aero Costa Taxi Aereo,아에로 코스타 택시 아에로,,XCT,Grounded
Aero Cuahonte,에어로 쿠아옹트,,CUO,Grounded
Aero Dynamics,에어로 다니아믹스,,ADL,Grounded
Aero Dynamics,에어로 다이나믹스,4A,DYN,Grounded
Aero Ejecutivo,아에로 이제큐티보,,AJO,Grounded
Aero Ejecutivo De Baja California,바자 캘리포니아 에어 이그제큐티브,,EBC,Grounded
Aero Ejecutivos R.C.G.,아에로 이제큐티보스 R.C.G.,,ECG,Grounded
"Aero Ejecutivos, C.A.",에어로 이제큐티보스,,VEJ,Grounded
Aero Elite Acapulco.,에어로 엘리트 아카풀코,,EPU,Grounded
"Aero Empresa Mexicana , S.A.",아에로 엠프레사 멕시카나,,AFO,Grounded
Aero Empresarial,아에로 엠프레사리알,,EPE,Grounded
Aero Entreprise,에어로 엔터프라이즈,,AON,Grounded
Aero Ermes,아에로 헤르메스,,EOM,Grounded
Aero Express,에어로 익스프레스,,XPN,Grounded
Aero Express Intercontinental,아에로 익스프레스 인터콘티넨탈,,XSS,Grounded
Aero Fenix,에어로 페닉스,,FNX,Grounded
Aero Freight,아에로 프레이트,,FGT,Grounded
Aero Gen,아에로 젠,,ROH,Grounded
Aero Homex,아에로 호멕스,,HOM,Grounded
Aero Industries,에어로 인더스트리,,WAB,Grounded
Aero Internacional,아에로 인터내셔널,,INA,Grounded
Aero JBR,에어로 JBR,,AJB,Grounded
Aero Jet Express,아에로 제트 익스프레스,,AJE,Grounded
Aero Jets Corporativos,아에로 제트 코퍼라티보스,,AJP,Grounded
Aero Jomacha,아에로 조마챠,,MHC,Grounded
Aero Juarez,아에로 후아레즈,,JUA,Grounded
Aero K,에어로 K,RF,EOK,Active
Aero Lider,아에로 라이데,,LDR,Grounded
Aero Link Air Services S.L.,에어로 링크 에어서비스,,ARK,Grounded
Aero Madrid,에어로마드리드,,AEM,Grounded
Aero Marine Consulting Pty Ltd,에어로머린컨설팅,,AUC,Grounded
Aero Mcfly,아에로 맥플라이,,MFL,Grounded
Aero Modelo,아에로 모델로,,DLS,Grounded
Aero Mongolia,에어로몽골,M0,MNG,Active
Aero Norte,아에로 노르테,,NTD,Grounded
Aero Nova,에어로 노바,,OVA,Grounded
Aero Owen,에어로 오웬,,OWN,Active
Aero Personal,아에로 퍼소날,,PNL,Grounded
Aero Premier De Mexico,멕시코 에어프리미어,,MIE,Grounded
Aero Quimmco,아에로 큄코,,QUI,Grounded
Aero Regional Paraguaya,에어로 리지날 파라과야,,REP,Grounded
Aero Rent,에어로 렌트,,NRO,Grounded
Aero Renta De Coahuila,코아우일라 에어렌탈,,RCO,Grounded
Aero Roca,에어로 로카,,RRC,Grounded
Aero Sami,아에로 사미,,SMI,Grounded
Aero Service Bolivia,에어로 서비스 볼리비아,,GHM,Grounded
Aero Services,에어로서비스,,BAS,Grounded
Aero Services Executive,에어로 서비스 이그제큐티브,W4,BES,Grounded
Aero Services Mali,에어 서비스 말리,,GLM,Grounded
Aero Servicio Corporativo,아에로서비스 코퍼라티보,,SRV,Grounded
Aero Servicio Guerrero,게레로 항공서비스,,GUE,Grounded
Aero Servicio Pity,아에로서비스 피티,,PTD,Grounded
Aero Servicios,아에로서비스,,RVI,Grounded
Aero Servicios Azteca,아에로서비스 아즈테카,,TED,Grounded
Aero Servicios De Nuevo Laredo,뉴에보 러레이도 에어서비스,,NEL,Grounded
Aero Servicios Ejecutivas Del Pacifico,아에로서비스 이제큐티바스 델 피시피코,,SEF,Grounded
Aero Servicios Ejecutivos Internacionales,아에로서비스 이제큐티보스 인터내셔날레스,,SII,Grounded
Aero Servicios Empresariales,아에로서비스 엠프사리알레스,,EMS,Grounded
Aero Servicios Especializados,아에로서비스 에스페셜리자도스,,SVE,Grounded
Aero Servicios Platinum,에어로서비스 플래티넘,,PNU,Grounded
Aero Servicios Regiomontanos,아에로서비스 레지오몬타노스,,ERI,Grounded
Aero Servicios Vanguardia,아에로서비스 방가르디아,,VNG,Grounded
Aero Siete,아에로 시에떼,,ETE,Grounded
Aero Silza,아에로 실짜,,SIZ,Grounded
Aero Slovakia,에어로 슬로바키아,,ASO,Grounded
Aero Soga Ltd,에어소가,,SOG,Grounded
"Aero Sudpacifico , S.A.",아에로 수드퍼시피코,,SDP,Grounded
Aero Taxi,에어로 택시,,QAT,Grounded
Aero Taxi Aviation,에어로 택시 에비에이션,,QKC,Grounded
Aero Taxi De Los Cabos,로스카보스 에어택시,,TBO,Grounded
Aero Taxi Del Centro De Mexico,멕시코 센트랄 에어택시,,TME,Grounded
"Aero Taxi Del Potosi , S.A.",에어로 택시 델 포토시,,TPO,Grounded
Aero Taxis Cessna,아에로 택시 세스나,,TND,Grounded
Aero Taxis Y Servicios Alfe,아에로 택시 이 서비시오스 알페,,FES,Grounded
Aero Toluca Internacional,에어로톨루카 인터내셔널,,TLU,Grounded
Aero Tomza,아에로 톰자,,TZA,Grounded
Aero Tonala,아에로 토날라,,TON,Grounded
Aero Transporte SA,ATSA 페루,,AMP,Grounded
Aero Transportes Del Humaya,아에로 트랜스포트 델 후마야,,HUY,Grounded
Aero Transportes Empresariales,아에로 트랜스포트 엠프레사리알레스,,EPL,Grounded
"Aero Tropical, Lda",에어로트로피칼,,TPB,Grounded
Aero Util,아에로 유틸,,TLE,Grounded
Aero Vics,아에로 빅스,,ARI,Grounded
Aero Vilamoura,에어로 벌래무라,,VMR,Grounded
Aero VIP,에어로 VIP,,RVP,Active
Aero VIP(아르헨티나),에어로 VIP,2D,AOG,Grounded
Aero Virel,아에로 바이렐,,VLS,Grounded
Aero Vision,에어로 비젼,,AOV,Grounded
Aero Vodochody,에어로 보도쵸디,,AOD,Grounded
"Aero Ways, Inc. ",에어로 웨이스,,TKK,Grounded
"Aero Yaqui Mayo, S. A. De C.V.",야쿠이 마요 항공,,MYS,Grounded
Aero Zambia Limited,에어로잠비아,Z9,RZL,Grounded
Aero Zano,아에로 자노,,RZN,Grounded
Aero4m,에어로 포엠,NL,AEH,Active
Aeroalas Colombia - Aerolineas Especiales de Colombia,아에로알 콜롬비아,,ALE,Grounded
Aeroaljarafe S.L.,에어로알자라페,,AJH,Grounded
Aeroatlantico Colombia - Aerovias Del Atlantico Ltda.,에어로아틀란티고 콜롬비아,,AOK,Grounded
Aeroatlas S.A.,에어로아틀라스,,AQA,Grounded
Aerobanana,아에로바나나,,OBA,Grounded
Aerobell Airlines,에어로벨항공,,GAB,Active
Aerobona,아에로보나,,BOC,Grounded
AeroBratsk,에어로 브라츠크,,BRP,Active
Aerobusinessservice,에어로비즈니스서비스,,LSM,Grounded
"Aerocalifornia , S.A.",에어캘리포니아,JR,SER,Grounded
Aerocardal,에어로카달,,CDA,Active
Aerocaribbean,에어로카리비엔,7L,CRN,Active
"Aerocaribe Coro, C.A.","에어로카리베 코로, C.A.",,AOB,Grounded
Aerocaribe de Honduras,에어로카리베 온두라스,,HAS,Active
"Aerocenter, Escuela De Formacion De Pilotos Privados De Avion","에어로센터, 에스쿠엘라 데 포막시옹 데 파일로토스 데 아비용",,ACR,Grounded
Aerocentral,아에로센트럴,9A,ATL,Grounded
Aerocer,아에로서,,RCE,Grounded
"Aerocesar, Aerovias Del Cesar",에어로세사,,AEC,Grounded
Aerochago,에어로챠고,,AHG,Grounded
Aerocharter,에어로챠터인코퍼레이션,,MRM,Grounded
Aerocheyenne,아에로샤이엔,,CYE,Grounded
Aerochiapas,아에로피아파스,,AHP,Grounded
Aeroclub Barcelona-Sabadell,에어로클럽 바르셀로나 사바델,,BSO,Grounded
Aeroclub De Alicante,에어로클럽 드 알리칸테,,LUE,Grounded
Aeroclub De Mallorca,말로르카 에어로클럽,,MLL,Grounded
Aeroclub De Vitoria,에어로클럽 드 빅토리아,,AVX,Grounded
Aeroclub Flaps,에어로클럽 플랩스,,FLP,Grounded
Aerocon Ltda.,아에레오콘,A4,AEK,Grounded
Aerocondor,에어로콘도르,Q6,CDP,Grounded
Aerocorp,아에로콥,,RCP,Grounded
Aerocorp *,에어로콥,,ORP,Grounded
Aerocorporativos.,에어로코오포레티보스,,CTD,Grounded
"Aerocredo, Closed Corporation",에어로크레도,,RRO,Grounded
Aerodan,아에로단,,ROD,Grounded
Aerodata Flight Inspection Gmbh,에어로데이타 비행점검,,FII,Active
AeroDavinci,에어로빈,,DVI,Grounded
Aerodespachos De El Salvador,엘살바도르 에어디스페쳐,,DNA,Grounded
Aerodienst Gmbh,에어로다인스트,,ADN,Grounded
Aerodin,아에로딘,,DIN,Grounded
Aerodinamica De Monterrey,몬테레이 에어로다이나믹,,DMC,Grounded
Aerodiplomatic,아에로디플로마틱,,ADP,Grounded
Aerodromo De La Mancha S.L.,아에로드로모 데 라 만챠,,MAM,Grounded
Aerodynamics,에어로다이나믹스,Y7,DNJ,Grounded
"Aerodynamics Malaga, S.L.",에어로다이나믹스 말라가,,DNC,Grounded
Aerodyne Charter Company,에어로다인 챠터 컴퍼니,,AQZ,Grounded
Aeroejecutiva Nieto,아에로이제큐티바 니에토,,NIE,Grounded
"Aeroejecutivos, Aeroservicios Ejecutivos",에어로이제큐티보스,,AJS,Grounded
Aeroel Airways Ltd,에로엘에어웨이,,ROL,Grounded
Aeroeste,아에레로에스테 ,,ROE,Active
Aeroexpreso Bogota,보고타 에어익스프레스,,ABO,Grounded
Aerofan,에어로팬,,CFF,Grounded
Aerofaq,에어로퍀,,FAQ,Grounded
Aeroferinco SA de CV,에어로페린코,,FEO,Grounded
"Aeroflight Academy Of Aviation, Inc. ",에어로플라이트 아카데미 오브 에비에이션,,TVD,Grounded
Aeroflot,아에로플로트,SU,AFL,Active
Aeroflot - Plus J.S.C.,아에로플로트 플러스,P3,PLS,Grounded
"Aeroflot Cargo, Closed Joint Stock Company",아에로플로트 카고,SU,RCF,Grounded
Aeroflota Del Noroeste S.L.,아에로플로타 델 노로에스테,,FNO,Grounded
"Aerofreight Airlines, Jsc",에어로프레이트 에어라인,,FRT,Grounded
Aerofrisco,아에로프리스코,,FCO,Grounded
Aerofuturo,에어로푸투로,,FUT,Grounded
Aerogala Ltda.,에어로갈라,,AGQ,Grounded
Aerogaucho,에어로가우쵸,,GAU,Grounded
Aerogaviota,에어로가비오타,KG,GTV,Grounded
Aerogem Aviation,에어로젬 항공,,GCK,Grounded
Aerogisa,아에로기사,,OGI,Grounded
Aerogroup 98 Limited,에어로그룹 98,,RWY,Grounded
Aeroingenieria Ltda.,에어로인제니에리아,,ING,Grounded
Aeroitalia,에어로이탈리아,,ROO,Grounded
"Aerojet de Costa Rica , S.A.",코스타리카 에어로제트,,ARJ,Grounded
Aerojobeni,아에로조베니,,JOB,Grounded
Aerokaluz,아에로칼루쯔,,KLZ,Grounded
"Aero-Kamov, Affiliated Company",에어로-카모프,,MSV,Grounded
Aerokuzbass Ltd,에어로쿠즈바스,,NKZ,Grounded
Aerolaguna,아에로라구나,,LGN,Grounded
Aeroland Airways,아에로랜드 항공,3S,AEN,Grounded
Aerolane - Lineas Aereas Nacionales Del Ecuador S.A.,에어로래인,,LNE,Active
Aerolift Company,에어로리프트,,LFT,Grounded
Aerolima,아에로리마,,LMA,Grounded
Aerolimusine,에어로리무진,,LIN,Grounded
Aerolinea De Antioquia (ADA),안티오키아 항공,,ANQ,Grounded
Aerolinea Muri,아에로리니아 무리,,MUR,Grounded
Aerolineas Aereas Ejecutivas De Durango,두랑고 이그제큐티브 항공,,LDG,Grounded
Aerolineas Amanecer,아에로리나스 아마네세르,,MNE,Grounded
Aerolineas Argentinas,아르헨티나항공,AR,ARG,Active
Aerolineas Austral Chile S.A.,오스트랄 칠레항공,3I,DLU,Grounded
Aerolineas Bonanza,보난자 항공,,BNZ,Grounded
Aerolineas Centauro,아에로리나스 센타우로,,CTR,Grounded
Aerolineas Centrales,아에로리나스 센트럴,,ALT,Grounded
"Aerolineas Centroamericanas , S.A.",센트럴 아메리칸 에어라인,,ACN,Grounded
Aerolineas Chihuahua Al Pacifico,치와아 알 퍼시픽항공,,PFI,Grounded
Aerolineas Comerciales,아에로리나스 코머시알레스,,ECM,Grounded
Aerolineas Damojh,아에로리나스 다모즈흐,,DMJ,Active
"Aerolineas De El Salvador , S.A.",엘살바도르 항공,,SZA,Grounded
Aerolineas De Morelia,모렐리아 항공,,MOR,Grounded
Aerolineas De Tehuacan,아에로리나스 데 테후아칸,,HUC,Grounded
Aerolineas Del Golfo.,에어라이니스 델 골포,,DLG,Grounded
Aerolineas Del Oeste,아에로리나스 델 외스테,,AST,Grounded
Aerolineas Del Pacifico - Aeropacsa,에어로리나스 델 퍼시피코 - 아레로파스카,,RPC,Grounded
Aerolineas Del Sureste S.A,에어로네스 델 쉬레스트,,SUE,Grounded
Aerolineas Dominicanas S.A.,에어로리나스 도미니카나스,,ADM,Grounded
"Aerolineas Ejecutivas , S.A.",아에로리나스 이제큐티바스,,LET,Grounded
Aerolineas Ejecutivas Del Sureste,아에로리나스 이제큐티바스 델 쉬레스테,,ESU,Grounded
Aerolineas Ejecutivas Tarascas,아에로리나스 이제큐티바스 타라스카스,,RSC,Grounded
Aerolineas Hidalgo.,에어라이니스 히달고 ,,AHL,Grounded
Aerolineas Internacionales,아에로리나스 인터내셔날레스,,LNT,Grounded
Aerolineas Marcos,아에로리나스 마르코스,,MCO,Grounded
Aerolineas Mexicanas J.S.,아에로리나스 멕시카나 J.S.,,LMX,Grounded
"Aerolineas Nacionales Del Ecuador , S.A. (Andes)",ANDES,,EDA,Grounded
Aerolineas Olve,아에로리나스 올베,,OLV,Grounded
"Aerolineas Primordiales, S A De C.V.",에어라이니스 프리모르디엘스,,APR,Grounded
"Aerolineas Santo Domingo , S.A.",에어로리나스 산토 도밍고,,SDO,Grounded
Aerolineas Sol,아에로리나스 솔,,SOD,Grounded
Aerolineas Sosa,SOSA 항공,SO,NSO,Active
Aerolineas Turisticas Del Caribe,아에로리나스 투리스티카 델 카리브,,TTB,Grounded
"Aerolineas Uruguayas , S.A.",에어로라이나스 우루과이야스,,AUY,Grounded
Aerolineas Villaverde,아에로리나스  빌라베르데,,VLR,Grounded
AeroLogic ,에어로로직,3S,BOX,Active
Aeromaan,아에로마안,,ERM,Grounded
Aeromagar,아에로마가,,MGS,Grounded
Aeromar,아에로마,VW,TAO,Active
"Aeromar, C. Por A.","에어로마, C. Por A.",,ROM,Grounded
Aeromarket Express,에어로마켓 익스프레스,,ARM,Grounded
Aeromas,에어로마스,,MSM,Grounded
"Aeromax, S.L.",에어로맥스,,AXP,Grounded
Aeromedica,아에로메디카,,DIC,Grounded
Aeromedicare Ltd,에어로메디캐어,,AMQ,Grounded
Aeromega Ltd,에어로메가,,OMG,Grounded
Aeromet,에어로매트,,MTE,Grounded
Aeromet Servicios Ltda.,에어로멧 서비시오스,,ARS,Grounded
Aeromexhaga,아에로멕스하가,,AXH,Grounded
Aeromexico,아에로 멕시코,AM,AMX,Active
Aeromexico Connect,아에로멕시코 커넥트,5D,SLI,Active
Aeromexpress,아에로멕스프레스,QO,MPX,Grounded
Aeromil Pacific,에어로밀 패시픽,,93C,Active
Aeromilenio,아에로밀레니오,,MNI,Grounded
Aeromist-Kharkiv Ltd,에어로미스트,HT,AHW,Active
Aeromorelos S.A. De C.V.,아에로모렐로스,,MRL,Grounded
Aeromover,에어로무버,,OVE,Grounded
Aeromundo Ejecutivo,아에로문도 이제큐티보,,MUN,Grounded
Aeron International Airlines,에어론 인터내셔널 에어라인,,AXI,Grounded
"Aeronautic De Los Pirineos, S.A.",에어로노티크 드 로스 피레네,,VSC,Grounded
"Aeronautica Castellana, S.L.",에어로노티카 카스텔라냐,,ECL,Grounded
"Aeronautica Del Principado, S.L.",에어로노티카 델 프린시파도,,NEO,Grounded
Aeronautica La Esperanza,아에로노티카 라 에스페란자,,ESZ,Grounded
Aeronautica Vientos Del Norte.,에어로노티카 비엔토스 델 노르테,,GEG,Grounded
Aeronautical Radio of Thailand Ltd,타이무선통신,,AET,Grounded
Aeronave Militar Espanola. Ministerio De Defensa,스페인 방위성 - 스페인공군,,AME,Grounded
Aeronaves Del Noreste,아에로나베스 델 로레스테,,DRO,Grounded
Aeronaves Del Noroeste,에어로나베스 델 노로에스테,,ENW,Grounded
Aeronaves Peruanas Air Cargo,에어로나베스 페루나스 에어카고,,WPL,Active
Aeronaves TSM,에어로나버스 TSM,,VTM,Active
Aeronavigaciya Ltd,에어로아비게이시야,,KTN,Grounded
"Aeronem, Air Cargo S.A.","에어로넴, 에어 카고",,RNM,Grounded
Aeroni,아에로니,,NID,Grounded
Aeronor,에어로노르,,GCF,Grounded
Aeronor.,에어로노르,,ONO,Grounded
Aeronord-Grup,에어로노드 그룹,,NRP,Grounded
"Aeronorte - Transportes Aereos, Lda",에어로노테 - 트랜스포트 아에로,,RTE,Grounded
Aeronova,에어로노바,X5,,Grounded
AeroPacifico,에어로파시피코,,TFO,Grounded
Aeropacifico - Aeroservicios de la Costa,에어로파시피코,,TAA,Grounded
Aeroparadise,아에로패러다이스,,APS,Grounded
Aeropelican Air Services,에어로펠리칸항공서비스,OT,,Grounded
Aeroperlas,아에로페를라스,WL,APP,Grounded
Aeroperlas,아에로페를라스,WL,,Grounded
Aeroperu,에어로페루,PL,PLI,Grounded
"Aeropiloto - Sociedade Exploradora De Servicos Aereos, Lda.",에어로필로토 - 소시에다데 엑스플라도라 데 서비코스 아에로,,AOP,Grounded
Aeroportul International Marculesti,마르쿠렐스티 항공인터내셔널,DP,AMM,Grounded
Aeropostal Cargo De Mexico,멕시코 항공우편화물,,PCG,Grounded
"Aeropostal, Alas De Venezuela S.A.",에어로 포스탈 베네수엘라,VH,ALV,Active
AeroPrakt K.Z,아에어프라쿠트,,APK,Active
Aeropro,에어로pro,,APO,Grounded
Aeropuma S.A.,에어로퓨마,,APU,Grounded
Aeroput,에어로푸트,,PUT,Grounded
Aeropycsa,아에로픽사,,PYC,Grounded
Aero-Pyrenees,에어로-피레니즈,,EAP,Grounded
Aero-Rent,아에로-렌트,,REN,Grounded
Aero-Rey,아에로-레이,,REY,Grounded
Aeros Ltd,에어로스,,FST,Grounded
Aerosaab,아에로saab,,SBH,Grounded
Aerosafin,아에로사핀,,FIC,Grounded
Aerosan,아에로산,,OSN,Grounded
Aerosec,에어로섹,,ERK,Grounded
"Aerosegovia , S.A.",에어로세고비아,,SGV,Grounded
Aeroservice,콩고에어로서비스,,RSR,Grounded
Aeroservices Corporate,에어로서비스 코퍼레이트,,CJE,Grounded
Aeroservicio Sipse,아에로서비시오 Sipse,,PSE,Grounded
"Aeroservicios California Pacifico, S. De R.L. De C.V.",에어로캘리포니아퍼시픽,,PIF,Grounded
Aeroservicios Corporativos De San Luis,산 루이스 에어서비스 주식회사,,PSL,Grounded
Aeroservicios De Nuevo Leon,뉴에보 레온 항공서비스,,NUL,Grounded
Aeroservicios De San Luis,산 루이스 에어서비스,,SUO,Grounded
Aeroservicios De Tl Altenango.,에어로서비스 드 알테난고,,TEG,Grounded
Aeroservicios Del Bajio,아에로서비시오스 델 바지오,,RBJ,Grounded
Aeroservicios Dinamicos,아에로서비시오스 다이나미코스,,DMI,Grounded
Aeroservicios Ecuatorianos C.A.,에어로서비시오스 에콰토리아노스,,EAE,Grounded
Aeroservicios Ejecutivos Corporativos,아에로서비시오스 이제큐티보스 코퍼라티보스,,EJP,Grounded
Aeroservicios Ejecutivos Del Occidente,아에로서비시오스 이제큐티보스 델 옥시덴테,,AEO,Grounded
"Aeroservicios Ejecutivos Del Pacifico , S.A.",아에로서비시오스 이제큐티보스 델 퍼시피코,,SPO,Grounded
Aeroservicios Empresariales SA de CV,에어로서비스오스 엠프리사리알레스,,TQ7,Grounded
Aeroservicios Gama,아에로서비시오스 감마,,GMS,Grounded
Aeroservicios Integrados De Norte,아에로서비시오스 인테그라도스 데 노르테,,INO,Grounded
Aeroservicios Jet,아에로서비시오스 제트,,RJS,Grounded
Aeroservicios Monterrey,몬테레이 에어서비스,,SVM,Grounded
