항공사명,한글항공사명,IATA코드,ICAO코드,항공사상태,사업모델,국가,지역,,
Austral,아우스트랄 항공,AU,AUT,Grounded,Regional/Commuter,Argentina,Lower South America,,
Australian Air Express,오스트랄리안에어익스프레스,XM,,Grounded,Cargo,Australia,Southwest Pacific,,
Austrian Airlines,오스트리안 항공 ,OS,AUA,Active,Full Service Carrier,Austria,Western Europe,,
AV Cargo,AV 카고,,,Active,Cargo,United Kingdom,Western Europe,,
AVA Airways,에바 항공,,,Startup,Full Service Carrier,Dominican Republic,Caribbean,,
Ava Transportation,에바 운송항공,,,Failed startup,Full Service Carrier,Jamaica,Caribbean,,
Avanti Air,아반티에어,,ATV,Active,Charter,Germany,Western Europe,,
Avatar Airlines,아바타항공,,,Startup,Low Cost Carrier,United States of America,North America,,
AVE.com,아브콤,P3,,Grounded,Charter,United Arab Emirates,Middle East,,
Avelo Airlines,아벨로항공,XP,VXP,Active,Low Cost Carrier,United States of America,North America,,
Avia Traffic Company,아비아트래픽콤파니,YK,AVJ,Active,Regional/Commuter,Kyrgyzstan,Central Asia,,
Aviacon Zito-Trans,아비아콘지오트랜스,ZR,AZS,Active,Charter,Russian Federation,Eastern/Central Europe,,
Aviacsa,아비악사 항공,6A,,Grounded,Low Cost Carrier,Mexico,Central America,,
Aviaexport Airways,아비엑스포트 항공,,,Active,Cargo,Georgia,Eastern/Central Europe,,
Aviaexpress Aircompany,아비아익스프레스,,VXX,Active,Charter,Ukraine,Eastern/Central Europe,,
Aviair,에비에어,GD,,Active,Regional/Commuter,Australia,Southwest Pacific,,
Avialift Vladivostok,에어리프트 블라디보스토크,,,Active,Charter,Russian Federation,Eastern/Central Europe,,
Avianca,아비앙카항공,AV,AVA,Active,Full Service Carrier,Colombia,Upper South America,,
Avianca Argentina,아비앙카 아르헨티나,A0,ANC,Active,Full Service Carrier,Argentina,Lower South America,,
Avianca Brazil,아비앙카 브라질,O6,ONE,Grounded,Full Service Carrier,Brazil,Upper South America,,
Avianca Cargo,아비앙카 카고,QT,TPA,Active,Cargo,Colombia,Upper South America,,
Avianca Costa Rica,아비앙카 코스타리카,LR,LRC,Active,Full Service Carrier,Costa Rica,Central America,,
Avianca Ecuador,아비앙카 에콰도르,2K,GLG,Active,Full Service Carrier,Ecuador,Upper South America,,
Avianca El Salvador,아비앙카 엘살바도르,TA,TAI,Active,Full Service Carrier,El Salvador,Central America,,
Avianca Guatemala,아비앙카 과테말라,GU,GUG,Active,Regional/Commuter,Guatemala,Central America,,
Avianca Honduras,아비앙카 온두라스,,ISV,Active,Regional/Commuter,Honduras,Central America,,
Avianca Peru,아비앙카 페루,T0,TPU,Grounded,Full Service Carrier,Peru,Upper South America,,
Avianova,에비아노바,AO,,Grounded,Low Cost Carrier,Russian Federation,Eastern/Central Europe,,
Aviashelf,아비아셀프,,,Active,Charter,Russian Federation,Eastern/Central Europe,,
Aviastar Mandiri,에비에스타 만디리,,VIT,Active,Regional/Commuter,Indonesia,South East Asia,,
Aviastar-TU,아비아스타,4B,TUP,Active,Cargo,Russian Federation,Eastern/Central Europe,,
Aviator Airlines,에비에이터 항공사,,AVV,Grounded,Charter,Egypt,North Africa,,
Aviatrans K,아비트랜스 K,KI,,Grounded,Charter,Ukraine,Eastern/Central Europe,,
Aviatsa,아비앗사,,LEM,Active,Full Service Carrier,Honduras,Central America,,
Avies Air Company,아비에스,,AIA,Grounded,Regional/Commuter,Estonia,Eastern/Central Europe,,
Avioandes,아비오안데스,,,Active,Charter,Ecuador,Upper South America,,
Aviofun,아비오펀,,,Active,,Slovenia,Eastern/Central Europe,,
Aviogenex,아비오제넥스,,AGX,Grounded,Charter,Serbia,Eastern/Central Europe,,
Aviolet,아비올렛,,,Active,Charter,Serbia,Eastern/Central Europe,,
Avion Express,아비온 익스프레스,X9,NVD,Active,Charter,Lithuania,Eastern/Central Europe,,
Avion Express Malta,아비온 익스프레스,,,Active,Charter,Malta,Western Europe,,
Avior Airlines,아비어항공,9V,ROI,Active,Full Service Carrier,Venezuela,Upper South America,,
Avior Regional,아비욜 리저널,,RGR,Active,Regional/Commuter,Venezuela,Upper South America,,
Aviostart,아비오스타트,,VSR,Active,Charter,Bulgaria,Eastern/Central Europe,,
Avirex Gabon,아비렉스 가봉,,VXG,Grounded,Charter,Gabon,Central/Western Africa,,
AWEX Croatia,AWEX 크로아티아,,,Active,Charter,Croatia,Eastern/Central Europe,,
Axiom Air,악시옴에어,,,Grounded,Charter,Nigeria,Central/Western Africa,,
Axis Airways,액시스 에어웨이즈,,,Grounded,Charter,France,Western Europe,,
Axis Lines International,액시스인터내셔널,9Y,,Grounded,Regional/Commuter,Cameroon,Central/Western Africa,,
AZALJET,아잘젯,,,Grounded,Low Cost Carrier,Azerbaijan,Eastern/Central Europe,,
Azerbaijan Airlines AZAL,아젤바이잔항공,J2,AHY,Active,Full Service Carrier,Azerbaijan,Eastern/Central Europe,,
Azman Air,아즈만 항공,,AZM,Active,Full Service Carrier,Nigeria,Central/Western Africa,,
Aztec Airways,아즈텍 항공사,AJ,AZY,Active,Charter,United States of America,North America,,
Azul,아줄 브라질 항공,AD,AZU,Active,Low Cost Carrier,Brazil,Upper South America,,
Azur Air,아주르 항공,ZF,KTK,Active,Charter,Russian Federation,Eastern/Central Europe,,
Azur Air Germany,아주르 우크라이나 항공,,,Grounded,Charter,Germany,Western Europe,,
Azur Air Ukraine,아주르 우크라이나 항공,QU,UTN,Active,Charter,Ukraine,Eastern/Central Europe,,
Azza Transport Company,아짜 트랜스포트 컴퍼니,,AZZ,Grounded,Cargo,Sudan,North Africa,,
B&H Airlines,보스니아항공,JA,BON,Grounded,Full Service Carrier,Bosnia and Herzegovina,Eastern/Central Europe,,
BA CityFlyer,BA 시티플라이어,CJ,CFE,Active,Regional/Commuter,United Kingdom,Western Europe,,
Baby Jet Airlines,베이비제트항공,,,Failed startup,Full Service Carrier,Ghana,Central/Western Africa,,
Backbone Aviation,백본 항공,,,Grounded,Charter,Denmark,Western Europe,,
Badr Airlines,바다르 항공,J4,BDR,Active,Charter,Sudan,North Africa,,
Bahamasair,바하마스에어,UP,BHS,Active,Regional/Commuter,Bahamas,Caribbean,,
Bahrain Air,바레인에어,BN,BAB,Grounded,Full Service Carrier,Bahrain,Middle East,,
Baires Fly,바이레스플라이,,,Active,Charter,Argentina,Lower South America,,
Bakhtar Afghan Airlines,박타르 아프간 항공사,,,Grounded,Full Service Carrier,Afghanistan,Middle East,,
Baltia Air Lines,발티아 항공,BQ,BTL,Failed startup,Charter,United States of America,North America,,
Bamboo Airways,뱀부에어웨이즈,QH,BAV,Active,Full Service Carrier,Vietnam,South East Asia,,
Bangkok Airways,방콕에어웨이즈,PG,BKP,Active,Full Service Carrier,Thailand,South East Asia,,
barents AirLink,바렌트 에어링크,,,Active,Regional/Commuter,Sweden,Western Europe,,
Bassaka Air,바사카 에어,5b,BSX,Active,Charter,Cambodia,South East Asia,,
Batavia Air,바타비아 항공,Y6,,Grounded,Full Service Carrier,Indonesia,South East Asia,,
Batik Air,바틱에어,ID,BTK,Active,Full Service Carrier,Indonesia,South East Asia,,
Bay Air Aviation,베이 항공,,,Active,Regional/Commuter,Namibia,Southern Africa,,
Bayu Air,바유항공,,,Failed startup,,Malaysia,South East Asia,,
BB Airways,비비항공,BO,BBW,Grounded,Charter,Nepal,South Asia,,
BBZR Cargo,BBZR 화물항공,,,Startup,Cargo,South Africa,Southern Africa,,
Bearskin Airlines,베어스킨 항공사,JV,BLS,Active,Regional/Commuter,Canada,North America,,
Bees Airline,비즈항공,7B,UBE,Active,Charter,Ukraine,Eastern/Central Europe,,
Beijing Airlines,베이징 항공사,,BJN,Active,Charter,China,North East Asia,,
Beijing Capital Airlines,베이징 케피탈 항공,JD,CBJ,Active,Low Cost Carrier,China,North East Asia,,
Bek Air,벡 에어,,BEK,Grounded,Full Service Carrier,Kazakhstan,Central Asia,,
Belair Airlines,벨레어 항공,4T,BHP,Grounded,Charter,Switzerland,Western Europe,,
Belavia,벨라비아항공,B2,BRU,Active,Regional/Commuter,Belarus,Eastern/Central Europe,,
Belle Air,벨에어,LZ,,Grounded,Low Cost Carrier,Albania,Eastern/Central Europe,,
Belle Air Europe,벨 에어 유럽,L9,,Grounded,Charter,Italy,Western Europe,,
Bemidji Airlines,베미지 항공,CH,BMJ,Active,Charter,United States of America,North America,,
Benin Airlines,베냉 항공,,ABT,Active,,Benin,Central/Western Africa,,
Benin Golf Air,베냉골프에어,A8,,Grounded,Full Service Carrier,Benin,Central/Western Africa,,
Bentiu Air Transport,벤티우항공운송,,BNT,Active,Cargo,Sudan,North Africa,,
Bergen Air Transport,베르겐 항공 운송,,,Active,Regional/Commuter,Norway,Western Europe,,
Bering Air,버닝 에어,8E,BRG,Active,Regional/Commuter,United States of America,North America,,
Berjaya Air,버자야에어,J8,BVT,Active,Regional/Commuter,Malaysia,South East Asia,,
Berniq Airways,바르니크 항공,NB,BNL,Active,Full Service Carrier,Libya,North Africa,,
Bestfly,베스트플라이,,,Active,Charter,Angola,Southern Africa,,
BH Air,BH 에어,8H,BGH,Active,Charter,Bulgaria,Eastern/Central Europe,,
Bhoja Air,보자항공,,BHO,Grounded,Regional/Commuter,Pakistan,South Asia,,
Bhutan Airlines,부탄 항공,B3,BTN,Active,Regional/Commuter,Bhutan,South Asia,,
BidAir Cargo,비드에어카고,,,Active,,South Africa,Southern Africa,,
Billion Air,빌리언에어,,,Failed startup,Full Service Carrier,Italy,Western Europe,,
Biman Bangladesh Airlines,비만방글라데시항공,BG,BBC,Active,Full Service Carrier,Bangladesh,South Asia,,
BinAir,빈에어,,,Active,Charter,Germany,Western Europe,,
Bingo Airways,빙고항공,,,Grounded,Charter,Poland,Eastern/Central Europe,,
BinterCanarias,빈터 카나리아,NT,IBB,Active,Regional/Commuter,Spain,Western Europe,,
Bishwo Airways,비슈워항공,,,Startup,Full Service Carrier,Nepal,South Asia,,
Bismillah Airlines,비질라 항공,BH,BML,Active,Cargo,Bangladesh,South Asia,,
BizAir Shuttle,비즈에어 ,,,Grounded,Virtual Carrier,United States of America,North America,,
Black Sea Airlines,흑해항공,,,Active,Charter,Ukraine,Eastern/Central Europe,,
Blackbird,블랙버드항공,,,Active,Charter,United States of America,North America,,
Blackbird Air Charter,블랙버드화물항공,,,Active,Charter,Denmark,Western Europe,,
Blekingeflyg,블레킹플라이,,,Grounded,Regional/Commuter,Sweden,Western Europe,,
Bliss Jet,블리스제트,,,Failed startup,Virtual Carrier,United States of America,North America,,
blu-express,블루-익스프레스,,BPA,Active,Low Cost Carrier,Italy,Western Europe,,
BLUairways,블루에어웨이즈,,,Startup,Charter,Poland,Eastern/Central Europe,,
Blue Air,블루 에어,0B,BLA,Active,Low Cost Carrier,Romania,Eastern/Central Europe,,
Blue Air Moravia Transportation,블루에어 모라비아운송,,,Failed startup,,Czech Republic,Eastern/Central Europe,,
Blue Bird Air Line,블루버드 항공,,,Startup,Regional/Commuter,Spain,Western Europe,,
Blue Bird Aviation,수단 블루버드항공,,BLB,Active,Charter,Sudan,North Africa,,
Blue Dart Aviation,블루다트항공,BZ,BDA,Active,Cargo,India,South Asia,,
Blue Islands,블루 아일랜드,SI,BCI,Active,Regional/Commuter,United Kingdom,Western Europe,,
Blue Line,블루라인,4Y,,Grounded,Charter,France,Western Europe,,
Blue Panorama Airlines,블루 파노라마 항공사,BV,BPA,Active,Full Service Carrier,Italy,Western Europe,,
Blue Sky Aviation,블루스카이 에비에이션,,SBK,Active,Charter,Kenya,Eastern Africa,,
Blue Sky Aviation Services (UAE),블루스카이 에비에이션,,,Failed startup,Cargo,United Arab Emirates,Middle East,,
Blue Wing Airlines,블루윙항공,,BWI,Active,Regional/Commuter,Suriname,Upper South America,,
Blue1,블루원,KF,,Grounded,Regional/Commuter,Finland,Western Europe,,
Bluebird Airways,블루버드항공,BZ,BBG,Active,Charter,Greece,Eastern/Central Europe,,
Bluebird Aviation,블루버드 에비에이션,,BBZ,Active,Charter,Kenya,Eastern Africa,,
Bluebird Nordic,블루버드 노르딕,BO,BBD,Active,Cargo,Iceland,Western Europe,,
BlueSky Airlines (Cayman Islands),블루스카이항공(케이맨제도),,,Startup,Regional/Commuter,Cayman Islands,Caribbean,,
BlueSky Airlines (DRC),블루스카이항공(DRC),,,Grounded,Charter,Democratic Republic of the Congo,Central/Western Africa,,
BlueSky Airways,블루스카이항공,,,Active,Charter,Botswana,Southern Africa,,
bmi regional,BMI 지역항공사,BM,BMR,Grounded,Regional/Commuter,United Kingdom,Western Europe,,
bmibaby,BMI 베이비,WW,,Grounded,Low Cost Carrier,United Kingdom,Western Europe,,
BoA Regional,BoA 지역항공사,,,Active,Regional/Commuter,Bolivia,Upper South America,,
Bohlke International Airways,볼케 국제항공,,,Active,Charter,Virgin Islands (US),North America,,
Boliviana de Aviacion,볼리비아나 드 에비에이션,OB,BOV,Active,Full Service Carrier,Bolivia,Upper South America,,
BoraJet,보라제트,YB,,Grounded,Charter,Turkey,Eastern/Central Europe,,
Bosnian Wand Airlines,보스니아완드항공,,,Active,Virtual Carrier,Bosnia and Herzegovina,Eastern/Central Europe,,
Botir Avia,보치르 아비아,,BTR,Grounded,Charter,Kyrgyzstan,Central Asia,,
BQB Lineas Aereas,BQB 항공,5Q,,Grounded,Charter,Uruguay,Lower South America,,
BRA - Braathens Regional Airlines,BRA 항공,TF,,Active,Charter,Sweden,Western Europe,,
Braathens Regional,브라텐스 지역항공사,DC,,Grounded,Regional/Commuter,Sweden,Western Europe,,
Branson Air Express,브랜슨 에어 익스프레스,1X,,Active,Virtual Carrier,United States of America,North America,,
Bratsk Air,브라츠크 항공,,,Grounded,Cargo,Russian Federation,Eastern/Central Europe,,
Brava Linhas Aereas,브라바 항공,NT,NHG,Active,Regional/Commuter,Brazil,Upper South America,,
Bravo Airways,브라보 에어웨이,,BAY,Active,Charter,Ukraine,Eastern/Central Europe,,
Breeze Airways,브리즈 항공,MX,MXY,Active,Low Cost Carrier,United States of America,North America,,
Bremenfly,브레멘 플라이,,,Grounded,Charter,Germany,Western Europe,,
Brighton City Airways,브라이튼 시티항공,,,Grounded,Virtual Carrier,United Kingdom,Western Europe,,
Brindabella Airlines,브린다벨라항공,FQ,,Grounded,Regional/Commuter,Australia,Southwest Pacific,,
British Airways,영국항공,BA,BAW,Active,Full Service Carrier,United Kingdom,Western Europe,,
British Gulf International Airlines,영국 걸프 국제항공,,BGI,Grounded,Charter,United Arab Emirates,Middle East,,
British International,영국 국제 항공,BS,BIH,Active,,United Kingdom,Western Europe,,
Brussels Airlines,브뤼셀 항공,SN,BEL,Active,Full Service Carrier,Belgium,Western Europe,,
Budapest Aircraft Service (BASe),부다페스트 에어크래프트 서비스,RP,BPS,Active,Charter,Hungary,Eastern/Central Europe,,
Buddha Air,부다에어,U4,BHA,Active,Regional/Commuter,Nepal,South Asia,,
Buffalo Airways,버펄로  에어웨이,,BFL,Active,Regional/Commuter,Canada,North America,,
Bukovyna Airlines,부코비나항공,,BKV,Active,Charter,Ukraine,Eastern/Central Europe,,
Bul Air,불 항공,LB,BVL,Active,Charter,Bulgaria,Eastern/Central Europe,,
Bulgaria Air,불가리아 에어,FB,LZB,Active,Full Service Carrier,Bulgaria,Eastern/Central Europe,,
Bulgarian Eagle,불가리안이글,,,Grounded,Charter,Bulgaria,Eastern/Central Europe,,
Bural,부랄항공,,,Grounded,Charter,Russian Federation,Eastern/Central Europe,,
Buraq Air,부라키 에어,UZ,BRQ,Active,Full Service Carrier,Libya,North Africa,,
Business Air,비즈니스 에어,8B,,Grounded,Full Service Carrier,Thailand,South East Asia,,
Business Airlines,비즈니스 항공,,BCV,Active,Charter,Ukraine,Eastern/Central Europe,,
Business Aviation Centre,비즈니스에비에이션센터,UQ,,Active,Charter,Ukraine,Eastern/Central Europe,,
Business Aviation of Congo,비즈니스에비에이션(콩고),,,Grounded,Charter,Democratic Republic of the Congo,Central/Western Africa,,
Busy Bee Congo,비지비 콩고,,,Active,Charter,Democratic Republic of the Congo,Central/Western Africa,,
Buta Airways,부다 항공,,AHY,Active,Low Cost Carrier,Azerbaijan,Eastern/Central Europe,,
Buzz,버즈,RR,RYS,Active,Charter,Poland,Eastern/Central Europe,,
Buzz (2004),버즈(2004),,,Grounded,Low Cost Carrier,United Kingdom,Western Europe,,
Buzz Aero,버즈에어로,F6,FXP,Active,Charter,Romania,Eastern/Central Europe,,
Buzz Airways,버즈 항공,,,Grounded,Virtual Carrier,United States of America,North America,,
BVI Airways,BVI 항공,XV,,Grounded,Charter,British Virgin Islands,Caribbean,,
Cabo Verde Airlines,카페베르데항공스,VR,TCV,Active,Full Service Carrier,Cape Verde,Central/Western Africa,,
Cabo Verde Express,카보베르데익스프레스,,CVE,Active,Charter,Cape Verde,Central/Western Africa,,
CAI First,CAI 퍼스트 항공,XM,,Grounded,Regional/Commuter,Italy,Western Europe,,
CAI Second,CAI 세컨드 항공,VE,,Grounded,Low Cost Carrier,Italy,Western Europe,,
Caicos Express Airways,카이코스익스프레스항공,9Q,CXE,Active,Charter,Turks and Caicos Islands,Caribbean,,
Cairo Aviation,카이로 항공,,CCE,Active,Charter,Egypt,North Africa,,
CAL Cargo Air Lines,CAL 화물항공,5C,ICL,Active,Cargo,Israel,Middle East,,
Cal Jet Air,칼제트에어,,,Grounded,Full Service Carrier,United States of America,North America,,
Cal Jet Elite Airways,칼제트엘리트에어,,,Active,Virtual Carrier,United States of America,North America,,
Calafia Airlines,칼라피아 항공,A7,CFV,Active,Regional/Commuter,Mexico,Central America,,
California Pacific Airlines,캘리포니아 퍼시픽 항공,,,Grounded,Full Service Carrier,United States of America,North America,,
Calima Aviacion,칼리마 에비에이션,,CMV,Active,Charter,Spain,Western Europe,,
Calm Air,캄 에어,MO,CAV,Active,Regional/Commuter,Canada,North America,,
Camair-Co,캄에어-코,QC,CRC,Active,Full Service Carrier,Cameroon,Central/Western Africa,,
Cambodia Airlines,캄보디아항공,,,Failed startup,,Cambodia,South East Asia,,
Cambodia Airways,캄보디라에어웨이,KR,KME,Active,Full Service Carrier,Cambodia,South East Asia,,
Cambodia Angkor Air,캄보디아 앙코르 에어,K6,KHV,Active,Full Service Carrier,Cambodia,South East Asia,,
Cambodia Bayon Airlines,캄보디아 바이욘 항공사,BD,BYC,Grounded,Full Service Carrier,Cambodia,South East Asia,,
Canadian Airways Congo,캐나다항공콩고,,TWC,Active,Regional/Commuter,Republic of the Congo,Central/Western Africa,,
Canadian North,캐나다 북부항공,5T,MPE,Active,Regional/Commuter,Canada,North America,,
Canarian Airways,카나리아항공,,,Startup,,Spain,Western Europe,,
CanaryFly,캐너리 플라이,PM,CNF,Active,Regional/Commuter,Spain,Western Europe,,
Canh Dieu Airlines (Kite Air),칸디외항공,,,Startup,Full Service Carrier,Vietnam,South East Asia,,
CanJet Airlines,캔제트 항공,C6,,Grounded,Charter,Canada,North America,,
Cape Air,케이프항공,9K,KAP,Active,Regional/Commuter,United States of America,North America,,
Capital Airlines (Nigeria),캐피탈 항공,,NCP,Grounded,Charter,Nigeria,Central/Western Africa,,
Capital Cargo International,캐피탈 카고인터내셔널 항공,PT,,Grounded,Cargo,United States of America,North America,,
Cardig Air,카딕 에어,8F,CAD,Active,Cargo,Indonesia,South East Asia,,
Cardinal Prestige Helicopter Charter,카디널 헬리콥터서비스,,,Active,Charter,United Kingdom,Western Europe,,
Cargo Air (Bulgaria),카고 에어,,CGF,Active,Cargo,Bulgaria,Eastern/Central Europe,,
Cargo Airways International,카고에어웨이즈인터내셔널,,,Grounded,Cargo,Cameroon,Central/Western Africa,,
Cargoitalia,카고이탈리아,2G,,Grounded,Cargo,Italy,Western Europe,,
Cargojet Airways,카고제트,W8,CJT,Active,Cargo,Canada,North America,,
CargoLogicAir,카고로직에어,P3,CLU,Active,Cargo,United Kingdom,Western Europe,,
CargoLogicGermany,카고로직독일,,GCL,Active,Cargo,Germany,Western Europe,,
Cargolux Airlines International,카고룩스,CV,CLX,Active,Cargo,Luxembourg,Western Europe,,
Cargolux Italia,카고룩스 이탈리아,C8,ICV,Active,Cargo,Italy,Western Europe,,
Carib South Airways,카리브사우스항공,,,Active,Cargo,United States of America,North America,,
Caribbean Airlines,카리브 항공,BW,BWA,Active,Full Service Carrier,Trinidad and Tobago,Caribbean,,
Caricom Airways,카리콤 항공,,,Active,,Suriname,Upper South America,,
Carinair Airlines,카린에어 항공,,,Startup,Full Service Carrier,Malta,Western Europe,,
Carpatair,카르파트에어,V3,KRP,Active,Regional/Commuter,Romania,Eastern/Central Europe,,
Caspian Airlines,카스피항공,,CPN,Active,Full Service Carrier,Iran,Middle East,,
Caterham Jet,캐터햄제트,,,Failed startup,Charter,Malaysia,South East Asia,,
Cathay Dragon,케세이 드래곤,KA,HDA,Grounded,Full Service Carrier,Hong Kong,North East Asia,,
Cathay Pacific,캐세이퍼시픽항공,CX,CPA,Active,Full Service Carrier,Hong Kong,North East Asia,,
Cavok Air,CAVOK 항공,,CVK,Active,Cargo,Moldova,Eastern/Central Europe,,
Cayman Airways,케이만항공,KX,CAY,Active,Full Service Carrier,Cayman Islands,Caribbean,,
Cebgo,세브고,DG,SRQ,Active,Low Cost Carrier,Philippines,South East Asia,,
Cebu Pacific,세부퍼시픽항공,5J,CEB,Active,Low Cost Carrier,Philippines,South East Asia,,
CEIBA Intercontinental,세이바 인터콘티넨탈,C2,CEL,Active,Full Service Carrier,Equatorial Guinea,Central/Western Africa,,
Celebes Air,셀레베스에어,,,Active,Regional/Commuter,Indonesia,South East Asia,,
Cello Aviation,첼로항공,,CLJ,Grounded,Charter,United Kingdom,Western Europe,,
CemAir,세메어,5Z,KEM,Active,Charter,South Africa,Southern Africa,,
Center South Airlines,센터 사우스 항공,,,Active,Charter,Russian Federation,Eastern/Central Europe,,
Central American Airways,센트럴 아메리칸 에어웨이,,,Grounded,Charter,Honduras,Central America,,
Central Asian Aviation Services,중앙아시아항공서비스,,,Failed startup,Charter,United Arab Emirates,Middle East,,
Central Charter Airlines Slovakia,센트럴 챠터 항공 슬로바키아,,,Active,Charter,Slovakia,Eastern/Central Europe,,
Central Mountain Air,센터럴 마운틴에어,9M,GLR,Active,Regional/Commuter,Canada,North America,,
Centurion Cargo,센튜리온 카고,WE,CWC,Grounded,Cargo,United States of America,North America,,
CFA Air Charter,CFA 전세 항공,,,Active,Charter,South Africa,Southern Africa,,
Chair Airlines AG,체어항공 AG,GM,GSW,Active,Charter,Switzerland,Western Europe,,
Chalair Aviation,샬레항공,CE,CLG,Active,Regional/Commuter,France,Western Europe,,
Challenge Airlines,첼린지에어,X7,CHG,Active,Cargo,Belgium,Western Europe,,
Chanchangi Airlines,찬창기이항공,,NCH,Grounded,Full Service Carrier,Nigeria,Central/Western Africa,,
Chartair,챠트에어,,,Active,Charter,Australia,Southwest Pacific,,
Charter Air Transport,차터 에어 트랜스포트,,,Active,Charter,United States of America,North America,,
Chathams Pacific Airlines,에어 채텀스,,,Grounded,Regional/Commuter,Tonga,Southwest Pacific,,
CHC Cameroon,CHC 카메룬,,,Grounded,Charter,Cameroon,Central/Western Africa,,
CHC Helicopters (Nigeria),CHC 헬리콥터 나이지리아,,ATQ,Active,Charter,Nigeria,Central/Western Africa,,
Chelyabinsk Airline,첼라빈스크 항공,,,Grounded,Charter,Russian Federation,Eastern/Central Europe,,
Chengdu Airlines,청두항공,EU,UEA,Active,Low Cost Carrier,China,North East Asia,,
Chilean Airways,칠레항공,,,Active,Regional/Commuter,Chile,Lower South America,,
Chilejet,칠레젯,H8,,Grounded,Charter,Chile,Lower South America,,
China Air Cargo Corporation,차이나에어카고,ZY,CCO,Active,Cargo,China,North East Asia,,
China Airlines,중화항공,CI,CAL,Active,Full Service Carrier,Taiwan,North East Asia,,
China Cargo Airlines,중국화물항공,CK,CKK,Active,Cargo,China,North East Asia,,
China Central Airlines,중국중앙항공,I9,HLF,Active,Cargo,China,North East Asia,,
China Eastern Airlines,중국동방항공,MU,CES,Active,Full Service Carrier,China,North East Asia,,
China Express Airlines,중국익스프레스항공,G5,HXA,Active,Regional/Commuter,China,North East Asia,,
China Flying Dragon Aviation,차이나 플라잉드라곤항공,,CFA,Active,Charter,China,North East Asia,,
China Northwestern Cargo International Airlines,중국북서부화물국제항공,CO,CNW,Active,Cargo,China,North East Asia,,
China Postal Airlines,차이나포스탈항공,CF,CYZ,Active,Cargo,China,North East Asia,,
China Southern Airlines,중국남방항공,CZ,CSN,Active,Full Service Carrier,China,North East Asia,,
China Southern Airlines Cargo,중국남방화물항공,CZ,CSG,Startup,Cargo,China,North East Asia,,
China United Airlines,차이나통일항공,KN,CUA,Active,Low Cost Carrier,China,North East Asia,,
China Xinhua Airlines,차이나신화항공,,,Active,Charter,China,North East Asia,,
Choice Aire,초이스에어,,,Active,Virtual Carrier,United States of America,North America,,
Chongqing Airlines,충칭항공,OQ,CQN,Active,Full Service Carrier,China,North East Asia,,
Chrono Aviation,크로노에비에이션,,NDL,Active,Charter,Canada,North America,,
Chukotavia,추코타비아,,,Active,Charter,Russian Federation,Eastern/Central Europe,,
Ciao Fly,차오플라이항공,,,Grounded,Low Cost Carrier,Italy,Western Europe,,
Cielos Airlines,시엘로스 항공,A2,,Active,Cargo,Peru,Upper South America,,
Cimber A/S,킴버 A/S,QA,CIM,Active,Charter,Denmark,Western Europe,,
Cinnamon Air,시나몬 에어,C7,CIN,Active,Regional/Commuter,Sri Lanka,South Asia,,
Cirrus Airlines,사이러스항공,C9,,Grounded,Regional/Commuter,Germany,Western Europe,,
CIT Airways,CIT 항공,,,Failed startup,Full Service Carrier,Dominica,Caribbean,,
Citilink,시티링크 인도네시아,QG,CTV,Active,Low Cost Carrier,Indonesia,South East Asia,,
City Airline,시티 항공,CF,,Grounded,Regional/Commuter,Sweden,Western Europe,,
City Airways,시티 에어웨이,E8,GTA,Grounded,Full Service Carrier,Thailand,South East Asia,,
CityJet,시티제트,WX,BCY,Active,Regional/Commuter,Ireland,Western Europe,,
Cityline Hungary,시티라인 헝가리,,,Active,Charter,Hungary,Eastern/Central Europe,,
Citywing,시티윙,NM,,Grounded,Regional/Commuter,United Kingdom,Western Europe,,
Civair Helicopters CC,시베어 헬리콥터,,,Active,Charter,South Africa,Southern Africa,,
Classic Norway Air,클래식 노르웨이 항공,,,Grounded,Charter,Norway,Western Europe,,
Clay Lacy Aviation,클레이레이스항공,,CLY,Active,Charter,United States of America,North America,,
Clesh Aviation,클레시항공,,,Grounded,Charter,Republic of the Congo,Central/Western Africa,,
Click Airways International,클릭에어웨이인터내셔널,,,Grounded,Cargo,United Arab Emirates,Middle East,,
Club One Air,클럽 원에어,,,Active,Charter,India,South Asia,,
CM Airlines,CM 항공,CC,OMT,Active,Regional/Commuter,Honduras,Central America,,
CMA CGM AIR CARGO,CMA CGM 화물항공,,,Active,Cargo,Belgium,Western Europe,,
CMC Aviation,CMC 항공,,,Grounded,Charter,Kenya,Eastern Africa,,
Coast Air,코스트에어,,,Grounded,Charter,Norway,Western Europe,,
Coastal Air,코스탈에어,,CXT,Active,Regional/Commuter,Virgin Islands (US),North America,,
Coastal Aviation,코스탈에비에이션,CQ,CSV,Active,Charter,Tanzania,Eastern Africa,,
Cobalt Air,코발트에어,CO,FCB,Grounded,Full Service Carrier,Cyprus,Eastern/Central Europe,,
Cobham Aviation Services,코브함 항공 서비스,,QJE,Active,Regional/Commuter,Australia,Southwest Pacific,,
Colgan Air,콜건 에어,,CJC,Grounded,Regional/Commuter,United States of America,North America,,
Colombe Airlines,콜롬베 항공,,CBL,Active,Regional/Commuter,Burkina Faso,Central/Western Africa,,
Colorful Guizhou Airlines ,두어차이구이저우항공,GY,CGZ,Active,Low Cost Carrier,China,North East Asia,,
